Timestamp,Username (used for scorecards and everything game related in the future to identify yourself) (Fun names encouraged as long as you remember it each week),Do you want to be a part of the prizes component?,Winner of the Week (5 Points),Top 3 of the Week (Pick #1) (2 points),Top 3 of the Week (Pick #2) (2 points),Top 3 of the Week (Pick #3) (2 points),Bottom 3 of the Week (Pick #1) (2 points),Bottom 3 of the Week (Pick #2) (2 points),Bottom 3 of the Week (Pick #3) (2 points),Eliminated Queen of the Week (5 points),America's Next Drag Superstar (winner of the season) (50 Points),Top 3 of the Season (Guess #1) (10 Points),Top 3 of the Season (Guess #2) (10 Points),Top 3 of the Season (Guess #3) (10 Points),Guess a celebrity portrayed in Snatch Game (Guess #1) (10 Points),Guess a celebrity portrayed in Snatch Game (Guess #2) (10 Points),Guess a celebrity portrayed in Snatch Game (Guess #3) (10 Points),What bonus question should we add in a future form?,Please suggest two or three fun little prizes ($15 or under)
1/3/2023 23:13:38,Her Majesty's Beefeater (Emmert),Yes,Robin Fierce,Robin Fierce,Loosey LaDuca,Malaysia Babydoll Foxx,Anetra,Salina EsTitties,Luxx Noir London,Salina EsTitties,Marcia Marcia Marcia,Marcia Marcia Marcia,Amethyst,Sugar,Trixie Mattel,Meghan Markle,Madonna,Who will be dubbed the season's Lip Sync Assassin/Who win's most lip sync's to be dubbed Lip Sync Assassin,A date with Nick/Sex with Nick/Drinks ($15s worth) with Nick
1/3/2023 23:15:43,Croissant,Yes,Aura Mayari,Aura Mayari,Amethyst,Irene Dubois,Luxx Noir London,Anetra,Mistress Isabelle Brooks,Anetra,Amethyst,Amethyst,Malaysia Babydoll Foxx,Aura Mayari,Jennifer coolidge ,Nancy pelosi,Madonna,Who’s the villain/miss congeniality? Will ru Paul say ‘inner saboteur’?,Earplugs (for noisy neighbours).  
1/5/2023 0:24:50,Tyler Tyler Tyler,Yes,Marcia Marcia Marcia,Marcia Marcia Marcia,Loosey LaDuca,Sasha Colby,Spice,Princess Poppy,Salina EsTitties,No Elimination,Sasha Colby,Sasha Colby,Mistress Isabelle Brooks,Robin Fierce,Billie Eilish,Zendaya,Rihanna,"No idea, im too sleepy rn","Merch from a favorite queen of the season of the recipient, biggest loser has to paint/create something for someone maybe?"
1/5/2023 2:04:54,drtangerine,Yes,Jax,Jax,Salina EsTitties,Sasha Colby,Luxx Noir London,Amethyst,Princess Poppy,Luxx Noir London,Jax,Jax,Salina EsTitties,Marcia Marcia Marcia,Lady Gaga,Selena,Marcia Brady,Who is considered trade of the season (episode 3 after they all meet)?,GiantMicrobe STD (monkeypox or syphilis)
1/5/2023 9:58:57,Quhn Tea,Yes,Sasha Colby,Aura Mayari,Irene Dubois,Sasha Colby,Loosey LaDuca,Jax,Malaysia Babydoll Foxx,Loosey LaDuca,Sasha Colby,Aura Mayari,Sasha Colby,Princess Poppy,Marcia from Brady Bunch,Nicki Minaj,"Kinky boots character, Lola",Who's going to cry first? How many times will Ru cry this episode? Who will get into a fight first in untucked?,"clacking fan, drag puzzle, a shake n go wig, candle, cute pot from Cliffs"
1/5/2023 10:58:14,Brennan,No,Amethyst,Jax,Mistress Isabelle Brooks,Amethyst,Irene Dubois,Sugar,Spice,Irene Dubois,Amethyst,Amethyst,Jax,Marcia Marcia Marcia,Shia Labeouf,Dolly Parton,Betty White,Who do you think will have the top score in the bracket? (out of people watching with us),Movie ticket
1/5/2023 20:38:46,ed_head,Yes,Sasha Colby,Sasha Colby,Marcia Marcia Marcia,Malaysia Babydoll Foxx,Amethyst,Princess Poppy,Loosey LaDuca,No Elimination,Salina EsTitties,Sasha Colby,Salina EsTitties,Jax,Maureen McCormick (Marcia Brady),Doja Cat ,Reese Witherspoon,how many lip syncs will there be in the first lip sync lalaparooza ,"wig, tickets to drag show,"
1/5/2023 23:41:01,Damian,Yes,Sasha Colby,Marcia Marcia Marcia,Anetra,Sasha Colby,Malaysia Babydoll Foxx,Amethyst,Robin Fierce,Robin Fierce,Mistress Isabelle Brooks,Mistress Isabelle Brooks,Luxx Noir London,Aura Mayari,Jennifer Coolidge,Kamala Harris,Nicole Kidman,Who is the first queen for ru to make cry on her walk through?,Tiny hand finger puppets. Taco Bell sauce packets. Shein jockstrap
1/5/2023 23:56:46,I'm gonna Sharr-own y'all,Yes,Malaysia Babydoll Foxx,Robin Fierce,Anetra,Malaysia Babydoll Foxx,Mistress Isabelle Brooks,Salina EsTitties,Sasha Colby,Salina EsTitties,Malaysia Babydoll Foxx,Malaysia Babydoll Foxx,Anetra,Luxx Noir London,Doja Cat,Christina Aguilera,Queen Elizabeth rip,Which eliminated queen will be brought back during the season,"Pre-rolls, edibles"
1/6/2023 0:28:02,Cunty McCuntface,Yes,Anetra,Anetra,Aura Mayari,Jax,Amethyst,Salina EsTitties,Mistress Isabelle Brooks,Amethyst,Aura Mayari,Aura Mayari,Jax,Anetra,Kamala Harris,Ariana Grande,Jennifer Coolidge,Who is Ru’s favorite?,Lube! Poppers! Drag merch. Gift cards! 
1/6/2023 1:13:13,Queen LaQweefa,Yes,Aura Mayari,Salina EsTitties,Aura Mayari,Irene Dubois,Luxx Noir London,Marcia Marcia Marcia,Jax,No Elimination,Aura Mayari,Aura Mayari,Salina EsTitties,Irene Dubois,Cher,Jennifer Coolridge,Dolly Parton,Which twink will last the longest?,"Moon sand, moon shoes, the moon"
1/6/2023 1:16:34,Ivana Leak,Yes,Malaysia Babydoll Foxx,Malaysia Babydoll Foxx,Salina EsTitties,Irene Dubois,Jax,Anetra,Robin Fierce,No Elimination,Sasha Colby,Sasha Colby,Loosey LaDuca,Irene Dubois,Lady Gaga,Betty White,Kim Kardashian,Which twin will last longer?,"Dildo, gay phone case, RPDR stickers"
1/6/2023 1:28:57,Sih-Moan,No,Irene Dubois,Irene Dubois,Marcia Marcia Marcia,Sugar,Luxx Noir London,Marcia Marcia Marcia,Anetra,Jax,Irene Dubois,Irene Dubois,Aura Mayari,Sugar,Miley cyrus,Arianna grande,Dupa lipa,Na,"Cake to share, new board game, "
1/6/2023 14:41:30,Poinhub HD,Yes,Sasha Colby,Sasha Colby,Jax,Marcia Marcia Marcia,Luxx Noir London,Sugar,Spice,No Elimination,Sasha Colby,Sasha Colby,Jax,Irene Dubois,Aubrey Plaza,Keke Palmer,Lil Nas X,Who will be the first to cry? Who will get the delusional edit?,Wigs! Weed! Booze
1/6/2023 15:31:26,Ishi Ishi Ishi,Yes,Irene Dubois,Aura Mayari,Irene Dubois,Jax,Luxx Noir London,Marcia Marcia Marcia,Salina EsTitties,Salina EsTitties,Irene Dubois,Irene Dubois,Sasha Colby,Spice,Anna Delvey,Queen Elizabeth II,Kim Kardashian,Miss Congeniality pick? Also maybe a favorite/least favorite look?,"Press-on nails, Sephora makeover/gift card, bottle of drag queen vodka (Serv)"
1/6/2023 15:53:34,"Bing, Bing",Yes,Jax,Jax,Sasha Colby,Anetra,Mistress Isabelle Brooks,Marcia Marcia Marcia,Salina EsTitties,Marcia Marcia Marcia,Anetra,Loosey LaDuca,Anetra,Malaysia Babydoll Foxx,Barbara Walters,Vivenne Westwood,Kirstie Alley,How many times does ariana grande say slay,"Edibles, joints, joints with an edible inside"